file,group,time,channel,n_cells,mean_cell_intensity,median_cell_intensity,mean_nonzero_pixels,fold_change
TAMO_p1,Chemoresistant,5,TMRM,550,20.782928466796875,21.109588623046875,5992.545454545455,0.9417441727405639
TAMO_p1,Chemoresistant,5,Lyso,550,11.729275703430176,11.322473526000977,4946.727272727273,0.8412846889520137
TAMO_p1,Chemoresistant,5,Tubulin,550,30.448637008666992,28.613367080688477,9916.681818181818,1.4261371031912118
TAMO_p1,Chemoresistant,6,LipiBlue,925,10.365560531616211,10.318419456481934,4003.5405405405404,0.5363100887251543
TAMO_p1,Chemoresistant,6,342,925,31.875553131103516,10.302699089050293,4789.864864864865,0.24674867580532167
TAMO_p1,Chemoresistant,6,BODIPY,925,9.660141944885254,9.231256484985352,4770.945945945946,0.6449127058663388
TAMO_p1,Chemoresistant,6,pHrodo,925,14.173026084899902,11.41259765625,4112.918918918919,0.7372807554551799
TAMO_p1,Chemoresistant,6,TMRM,925,13.76641845703125,12.571843147277832,4451.486486486487,0.6238025782617459
TAMO_p1,Chemoresistant,6,Lyso,925,8.334142684936523,8.238134384155273,3710.0,0.5977680816495834
TAMO_p1,Chemoresistant,6,Tubulin,925,28.740083694458008,28.541152954101562,7461.8378378378375,1.34611278967333
TAMO_p2,Chemoresistant,0,LipiBlue,725,509.9735412597656,8.820856094360352,487.0689655172414,1.0
TAMO_p2,Chemoresistant,0,342,725,250.75430297851562,90.96856689453125,728.551724137931,1.0
TAMO_p2,Chemoresistant,0,BODIPY,725,235.138916015625,20.554447174072266,628.6206896551724,1.0
TAMO_p2,Chemoresistant,0,pHrodo,725,697.044921875,24.70485496520996,542.7586206896551,1.0
TAMO_p2,Chemoresistant,0,TMRM,725,197.2095947265625,20.669397354125977,631.1034482758621,1.0
TAMO_p2,Chemoresistant,0,Lyso,725,2413.884765625,13.669361114501953,476.13793103448273,1.0
TAMO_p2,Chemoresistant,0,Tubulin,725,283.85601806640625,19.03423500061035,955.8965517241379,1.0
TAMO_p2,Chemoresistant,1,LipiBlue,300,5.932679653167725,3.7391653060913086,1642.5,0.011633308736983653
TAMO_p2,Chemoresistant,1,342,300,19.7912654876709,4.3691086769104,1947.0,0.07892692269917535
TAMO_p2,Chemoresistant,1,BODIPY,300,6.603475093841553,4.969733238220215,1936.75,0.02808329308366273
